timestamp,steering,throttle,L2,L1,C,R1,R2
0.002,0.0,0.0,131.1,168.8,78.8,24.3,19.1
0.059,0.0,0.0,129.2,163.5,72.4,24.1,19.2
0.118,0.0,0.0,130.7,159.1,78.3,24.1,18.9
0.178,0.0,0.0,130.2,168.1,100.4,23.9,19.3
0.235,0.0,0.0,130.7,154.4,90.4,24.0,19.2
0.296,0.0,0.0,129.0,149.3,64.5,24.3,19.2
0.354,0.0,0.0,130.0,155.9,79.2,24.5,19.2
0.414,0.0,0.6235198974609375,130.8,157.7,74.3,24.2,19.1
0.471,0.0,0.9999847412109375,130.2,156.1,76.9,24.2,19.0
0.532,0.0,0.9999847412109375,129.6,160.4,68.2,24.1,19.3
0.59,0.0,0.9999847412109375,129.8,169.2,71.6,24.1,19.2
0.65,0.0,0.9999847412109375,130.4,159.3,69.6,24.1,18.9
0.708,0.0,0.8666534423828125,130.3,146.4,56.3,24.1,19.2
0.767,0.0,0.0,130.9,162.5,55.5,24.3,19.2
0.826,0.0,0.45489501953125,131.2,159.4,70.8,24.4,19.1
0.886,0.0,0.9999847412109375,130.4,163.8,58.8,24.4,19.0
0.945,0.0,0.9999847412109375,130.7,149.9,46.8,24.7,19.1
1.005,0.0,0.9999847412109375,132.2,159.6,59.0,24.6,18.9
1.063,0.0,0.9999847412109375,130.7,153.9,37.7,24.7,18.8
1.12,0.0,0.9999847412109375,131.9,163.1,41.8,24.7,18.8
1.18,0.0,0.9999847412109375,132.1,166.5,32.8,24.8,18.8
1.239,0.0,0.9999847412109375,133.0,143.7,28.4,24.7,18.9
1.299,0.0,0.9999847412109375,133.5,20.8,20.9,25.1,18.8
1.358,0.0,0.9999847412109375,132.5,167.6,42.7,25.2,19.1
1.42,0.0,0.9999847412109375,130.8,999,27.8,25.5,18.9
1.475,0.0,0.9999847412109375,134.4,190.5,45.9,25.7,18.8
1.533,0.0,0.9999847412109375,132.3,999,10.7,23.9,19.2
1.593,0.0,0.9999847412109375,134.1,999,10.6,23.6,19.3
1.653,0.0,0.9999847412109375,133.9,999,3.7,23.7,19.5
1.711,0.0,0.9999847412109375,133.1,999,999,23.9,19.3
1.771,0.0,0.9999847412109375,134.1,999,999,24.2,17.7
1.828,0.0,0.9999847412109375,133.8,999,4.4,24.3,18.0
1.888,0.0,0.9999847412109375,134.0,999,999,24.5,17.9
1.948,0.0,0.9999847412109375,134.3,223.6,999,24.8,18.0
2.007,0.0,0.9999847412109375,134.2,218.3,1.1,25.1,18.4
2.065,0.0,0.9999847412109375,135.7,207.5,6.6,25.3,18.6
