timestamp,steering,throttle,L2,L1,C,R1,R2
0.002,0.0,0.0,113.4,144.5,52.0,50.7,36.4
0.059,0.0,0.0,114.1,137.2,28.9,50.7,36.2
0.119,0.0,0.0,113.6,141.6,45.3,50.6,36.2
0.18,0.0,0.0,113.7,142.1,26.1,50.6,36.4
0.236,0.0,0.0,113.2,139.7,20.1,50.7,36.3
0.296,0.0,0.0,113.7,139.1,59.0,50.8,36.1
0.354,0.0,0.0,113.3,140.4,39.9,50.9,36.2
0.413,0.0,0.9999847412109375,113.9,140.4,57.8,50.6,36.3
0.473,0.0,0.9999847412109375,113.5,136.5,39.3,50.8,36.2
0.533,0.0,0.9999847412109375,113.3,140.6,34.5,50.6,36.3
0.59,0.0,0.9999847412109375,113.5,137.7,53.1,50.9,36.2
0.649,0.0,0.9999847412109375,113.5,137.2,41.6,51.0,36.3
0.71,0.0,0.9999847412109375,113.7,139.8,40.4,52.1,36.8
0.768,0.0,0.9999847412109375,113.5,138.4,43.3,52.8,37.0
0.827,0.0,0.9999847412109375,113.0,136.6,28.4,53.9,37.0
0.885,0.0,0.9999847412109375,112.7,141.0,37.1,54.8,37.4
0.945,0.0,0.9999847412109375,112.3,140.3,31.5,55.7,37.9
1.003,0.0,0.9999847412109375,112.4,136.6,24.3,56.7,38.5
1.063,0.388214111328125,0.9999847412109375,112.0,133.2,17.8,56.9,39.0
1.121,0.231353759765625,0.9999847412109375,111.4,133.8,18.3,57.6,39.6
1.182,0.0,0.9999847412109375,110.7,130.1,14.6,58.0,40.4
1.24,0.0,0.9999847412109375,110.5,131.0,23.9,58.1,41.0
1.299,0.0,0.9999847412109375,110.4,130.9,16.7,58.7,41.2
1.358,0.0,0.9999847412109375,110.3,135.1,12.7,59.1,42.2
1.417,0.0,0.9999847412109375,110.1,136.5,999,59.8,42.6
1.476,0.0,0.9999847412109375,110.0,132.3,999,60.8,43.2
1.536,0.0,0.9999847412109375,109.2,131.3,21.2,61.8,43.7
1.595,0.0,0.9999847412109375,108.7,129.0,20.7,63.3,43.1
1.652,0.0,0.9999847412109375,108.4,131.5,5.8,64.2,43.7
1.711,0.0,0.9999847412109375,108.6,128.6,14.8,65.7,44.5
1.771,0.0,0.9999847412109375,107.9,131.1,36.6,66.9,45.4
1.83,0.0,0.9999847412109375,107.7,128.2,135.5,67.9,45.9
1.889,0.0,0.9999847412109375,106.7,132.6,35.5,69.3,46.5
1.947,0.0,0.9999847412109375,106.0,132.6,167.2,71.1,47.5
2.007,0.0,0.9999847412109375,105.1,129.8,180.3,72.7,48.5
2.067,0.0,0.9999847412109375,105.4,133.0,162.6,73.6,49.3
2.124,0.388214111328125,0.9999847412109375,104.6,137.9,170.4,74.8,50.3
2.186,0.80389404296875,0.9999847412109375,103.2,142.9,178.9,75.3,50.8
2.234,0.999969482421875,0.9999847412109375,102.8,134.9,165.0,76.0,51.9
2.294,0.999969482421875,0.9999847412109375,102.0,136.7,171.4,73.6,52.3
2.351,0.999969482421875,0.9999847412109375,101.7,138.5,168.2,71.5,52.0
2.41,0.999969482421875,0.9999847412109375,101.9,130.4,160.3,67.1,51.6
2.468,0.999969482421875,0.9999847412109375,103.3,121.3,170.8,63.5,50.2
2.537,0.999969482421875,0.9999847412109375,105.5,116.5,165.9,58.1,49.1
2.597,0.999969482421875,0.9999847412109375,108.0,114.3,163.5,54.2,47.7
2.656,0.999969482421875,0.9999847412109375,110.7,115.3,153.4,50.3,46.7
2.715,0.999969482421875,0.9999847412109375,116.0,116.9,157.3,45.9,45.1
2.774,0.999969482421875,0.9999847412109375,118.1,115.6,160.0,42.5,42.9
2.831,0.999969482421875,0.9999847412109375,115.2,118.7,153.7,38.5,41.3
2.892,0.999969482421875,0.9999847412109375,112.7,119.4,157.0,34.4,39.1
2.951,0.999969482421875,0.9999847412109375,111.8,121.0,167.2,30.9,36.7
3.01,0.999969482421875,0.9999847412109375,111.3,121.2,140.1,27.5,33.7
3.069,0.0,0.9999847412109375,110.9,120.9,149.1,24.6,30.6
3.13,0.0,0.9999847412109375,112.3,121.7,153.6,22.3,27.0
3.187,0.0,0.9999847412109375,113.3,123.2,148.4,19.7,22.9
3.246,0.0,0.9999847412109375,114.6,122.9,131.7,18.5,18.3
3.305,0.0,0.9999847412109375,114.9,120.0,121.0,18.6,14.1
3.365,0.0,0.9999847412109375,114.6,117.4,165.7,18.3,13.7
3.424,0.0,0.9999847412109375,113.2,114.6,155.1,18.3,13.7
3.483,0.0,0.9999847412109375,112.1,112.7,145.4,18.3,13.7
3.542,0.0,0.9999847412109375,111.3,109.5,123.1,18.4,13.7
3.601,0.0,0.9999847412109375,110.2,106.8,143.2,19.4,13.7
3.635,0.0,0.9999847412109375,108.1,103.0,152.8,73.5,13.8
3.693,0.0,0.9999847412109375,107.4,100.2,155.2,148.3,13.5
3.753,0.0,0.9999847412109375,106.6,96.2,147.6,147.3,14.4
3.813,0.0,0.9999847412109375,105.1,93.5,154.3,138.4,18.9
3.869,0.105865478515625,0.9999847412109375,103.9,90.3,142.3,132.8,24.8
3.929,0.694091796875,0.9999847412109375,103.2,87.3,143.6,134.0,31.6
3.988,0.858795166015625,0.9999847412109375,100.1,84.0,135.7,123.9,38.3
4.047,0.858795166015625,0.9999847412109375,96.7,80.8,137.1,122.7,43.9
4.107,0.858795166015625,0.9999847412109375,92.0,77.1,128.4,124.2,46.8
4.166,0.858795166015625,0.9999847412109375,87.0,74.5,129.7,121.1,47.4
4.224,0.999969482421875,0.9999847412109375,82.7,73.1,131.3,119.4,52.0
4.282,0.999969482421875,0.9999847412109375,78.3,71.4,131.7,116.6,65.8
4.342,0.999969482421875,0.9999847412109375,74.5,70.6,138.1,109.6,70.6
4.401,0.999969482421875,0.9999847412109375,71.6,70.1,144.1,105.3,75.0
4.46,0.0,0.9999847412109375,69.5,69.0,168.1,101.5,76.3
4.519,0.0,0.9999847412109375,68.0,68.7,168.4,99.5,77.6
4.579,0.0,0.9999847412109375,67.0,68.3,169.7,99.4,79.9
4.638,0.466644287109375,0.9999847412109375,66.0,69.6,153.0,87.9,84.4
4.696,0.999969482421875,0.9999847412109375,65.2,69.3,163.8,81.5,90.7
4.755,0.999969482421875,0.9999847412109375,63.4,68.0,161.1,76.9,96.5
4.814,0.999969482421875,0.9999847412109375,61.6,66.3,162.3,71.6,105.6
4.873,0.0,0.9999847412109375,60.0,66.1,156.7,67.8,105.9
4.931,0.0,0.9999847412109375,59.4,66.9,163.5,62.8,104.3
5.014,0.0,0.9999847412109375,59.5,69.4,143.6,58.9,106.7
5.073,0.12939453125,0.9999847412109375,60.0,72.4,180.4,58.6,110.6
5.133,0.61566162109375,0.9999847412109375,59.7,74.7,183.1,55.0,117.9
5.192,0.858795166015625,0.9999847412109375,59.3,75.0,179.9,51.1,121.4
5.251,0.796051025390625,0.9999847412109375,59.0,74.5,181.3,52.2,123.9
5.309,0.0,0.9999847412109375,58.7,74.0,179.7,51.3,122.4
5.367,0.0,0.9999847412109375,58.9,74.4,178.1,49.6,123.3
5.428,0.0,0.9999847412109375,59.8,76.7,172.8,47.3,121.9
5.5,0.0,0.9999847412109375,60.9,79.8,173.9,47.3,40.1
5.556,0.39605712890625,0.9999847412109375,62.0,80.9,168.5,48.4,39.3
5.614,0.89801025390625,0.9999847412109375,62.7,80.9,167.4,49.9,33.4
5.674,0.999969482421875,0.9999847412109375,63.2,80.8,160.4,51.1,32.6
5.732,0.999969482421875,0.9999847412109375,63.2,80.2,158.4,51.4,32.9
5.789,0.999969482421875,0.9999847412109375,63.5,78.7,152.4,48.6,32.9
5.849,0.999969482421875,0.9999847412109375,63.6,77.9,147.0,44.8,31.9
5.908,0.952911376953125,0.9999847412109375,65.1,79.5,133.6,40.8,30.9
5.965,0.952911376953125,0.9999847412109375,67.9,81.4,136.4,37.0,29.8
6.024,0.952911376953125,0.9999847412109375,69.9,83.1,144.6,32.8,28.3
6.081,0.937225341796875,0.9999847412109375,72.9,84.2,145.9,29.3,26.8
6.139,0.968597412109375,0.9999847412109375,73.1,84.7,149.2,25.5,24.6
6.198,0.968597412109375,0.9999847412109375,73.2,89.2,151.4,22.0,22.5
6.257,0.968597412109375,0.9999847412109375,73.7,94.2,155.4,18.2,19.8
6.316,0.937225341796875,0.9999847412109375,75.1,100.6,153.7,14.6,17.2
6.374,-0.2784423828125,0.9999847412109375,77.5,103.2,163.2,8.4,13.8
6.431,0.0,0.9999847412109375,79.9,106.2,149.5,9.1,10.1
6.49,0.0,0.9999847412109375,81.8,107.6,138.2,10.2,3.9
6.548,0.0,0.9999847412109375,83.6,106.9,135.1,13.5,5.0
6.609,0.0,0.9999847412109375,85.4,104.8,139.2,17.0,7.2
6.669,0.0,0.9999847412109375,86.6,103.3,104.3,21.4,9.3
6.726,0.0,0.9999847412109375,87.6,101.6,157.5,23.7,10.7
6.784,0.0,0.9999847412109375,89.0,100.2,154.3,25.4,12.9
6.843,0.0,0.9999847412109375,90.2,98.3,159.1,27.5,14.8
6.902,0.0,0.9999847412109375,90.5,98.1,151.7,30.1,17.2
6.961,0.0,0.9999847412109375,90.1,95.5,139.1,32.4,18.2
7.02,0.0,0.9999847412109375,89.4,91.7,147.9,34.9,19.4
7.079,0.215667724609375,0.9999847412109375,88.8,88.6,144.6,37.6,20.7
7.139,0.811737060546875,0.9999847412109375,87.8,85.2,139.3,40.2,22.5
7.196,0.811737060546875,0.9999847412109375,86.5,81.8,137.8,41.4,23.8
7.256,0.827423095703125,0.9999847412109375,86.1,78.4,134.8,39.6,25.0
7.307,0.827423095703125,0.9999847412109375,85.2,75.4,130.8,39.2,25.4
7.364,0.874481201171875,0.9999847412109375,84.0,72.3,128.1,35.7,25.5
7.422,0.89801025390625,0.9999847412109375,82.9,69.5,127.4,44.1,25.2
7.482,0.83526611328125,0.9999847412109375,81.3,67.5,134.1,84.2,24.7
7.54,0.811737060546875,0.9999847412109375,77.7,65.9,133.8,102.0,24.2
7.597,0.811737060546875,0.9999847412109375,73.0,64.4,147.9,114.9,23.2
7.655,0.811737060546875,0.9999847412109375,69.6,63.8,140.7,118.6,22.1
7.716,0.811737060546875,0.9999847412109375,66.7,63.2,153.3,120.9,21.5
7.771,0.0,0.9999847412109375,64.6,63.8,146.3,119.1,62.4
7.822,0.0,0.9999847412109375,62.6,64.3,151.1,112.8,105.1
7.881,0.0,0.9999847412109375,61.0,65.6,157.2,107.2,104.3
7.939,0.0,0.9999847412109375,60.1,66.4,168.5,108.9,99.3
7.998,0.0,0.9999847412109375,59.2,66.0,182.1,109.7,95.3
8.058,0.0,0.9999847412109375,58.2,65.1,170.7,109.1,89.9
8.117,0.0,0.9999847412109375,57.0,63.3,168.2,111.4,89.2
8.174,0.0,0.9999847412109375,55.9,61.6,151.5,112.2,85.0
8.234,0.694091796875,0.9999847412109375,54.8,60.6,159.9,110.8,84.3
8.294,0.811737060546875,0.9999847412109375,53.6,58.9,149.9,92.7,82.8
8.354,0.827423095703125,0.9999847412109375,52.2,57.5,152.9,68.8,79.6
8.41,0.827423095703125,0.9999847412109375,50.9,56.2,149.4,63.6,80.1
8.47,0.827423095703125,0.9999847412109375,49.8,56.5,143.0,89.9,79.5
8.53,0.827423095703125,0.9999847412109375,49.2,57.4,141.8,72.1,77.3
8.589,0.827423095703125,0.9999847412109375,49.4,59.6,136.6,80.8,76.2
8.648,0.827423095703125,0.9999847412109375,49.6,63.0,134.2,82.0,75.7
8.707,0.827423095703125,0.9999847412109375,50.5,68.0,134.8,85.5,73.2
8.765,0.7882080078125,0.9999847412109375,51.7,73.6,130.8,84.1,71.9
8.824,0.7882080078125,0.9999847412109375,53.2,78.5,134.3,82.5,71.5
8.883,0.7882080078125,0.9999847412109375,55.3,80.2,130.0,80.0,70.7
8.943,0.7882080078125,0.9999847412109375,58.4,82.2,129.7,76.1,69.9
9.001,0.7882080078125,0.9999847412109375,62.2,87.0,130.1,72.5,68.9
9.06,0.7882080078125,0.9999847412109375,66.6,90.6,129.6,67.6,67.2
9.144,0.7882080078125,0.9999847412109375,70.8,93.0,129.0,62.1,65.1
9.202,0.7882080078125,0.9999847412109375,73.6,89.5,107.8,57.9,64.1
9.26,0.7882080078125,0.9999847412109375,75.4,86.2,13.2,55.2,61.8
9.32,0.7882080078125,0.9999847412109375,78.0,83.2,25.3,52.0,60.1
9.378,0.7882080078125,0.9999847412109375,80.6,80.2,98.2,50.1,58.2
9.438,0.7882080078125,0.9999847412109375,84.2,78.2,47.2,49.0,56.0
9.496,0.7882080078125,0.9999847412109375,86.1,76.5,84.9,47.0,53.6
9.554,0.7882080078125,0.9999847412109375,83.8,74.9,43.5,44.7,50.6
9.614,0.77252197265625,0.9999847412109375,79.6,74.5,159.9,42.3,47.2
9.672,0.0,0.9999847412109375,77.1,74.0,122.2,40.2,43.6
9.732,0.0,0.9999847412109375,74.3,73.7,158.9,37.6,39.4
9.791,0.0,0.9999847412109375,72.4,73.5,161.3,35.6,34.4
9.851,0.0,0.9999847412109375,70.5,75.2,153.6,35.6,28.0
9.908,0.0,0.9999847412109375,69.2,72.7,143.8,36.6,23.8
9.967,0.0,0.9999847412109375,68.1,70.8,150.0,37.1,24.4
10.027,0.0,0.9999847412109375,66.3,71.8,142.9,36.8,24.9
10.086,0.0,0.9999847412109375,65.5,45.8,138.5,36.4,25.7
10.145,0.0,0.9999847412109375,64.3,50.5,137.1,36.7,26.3
10.203,0.0,0.9999847412109375,63.0,57.0,125.4,36.9,26.7
10.263,0.0,0.9999847412109375,61.6,27.5,128.1,37.1,27.4
10.323,0.0,0.9999847412109375,60.5,95.0,119.8,37.5,28.1
10.38,0.0,0.9999847412109375,58.4,86.5,115.3,37.8,27.9
10.439,0.0,0.9999847412109375,58.4,118.4,112.6,38.4,27.6
10.499,-0.2470703125,0.9999847412109375,58.2,111.4,109.5,39.4,27.9
10.557,-0.835296630859375,0.9999847412109375,68.8,118.8,103.3,39.9,27.6
10.617,-1.0,0.9999847412109375,76.6,21.2,97.5,40.0,27.9
10.677,-1.0,0.9999847412109375,83.0,96.6,94.0,38.6,28.1
10.734,-1.0,0.9999847412109375,85.2,153.5,88.6,38.1,28.6
10.794,-1.0,0.9999847412109375,85.4,131.0,85.5,39.3,29.8
10.854,-1.0,0.9999847412109375,85.5,171.8,83.2,41.2,31.9
10.911,-1.0,0.9999847412109375,85.7,141.8,82.9,44.1,33.9
10.971,-1.0,0.9999847412109375,84.1,125.7,82.2,48.4,34.9
11.029,-1.0,0.9999847412109375,83.2,65.7,81.3,52.9,37.1
11.089,-1.0,0.9999847412109375,82.6,119.8,81.2,52.4,39.0
11.149,-1.0,0.9999847412109375,82.6,75.1,85.1,50.5,42.9
11.209,-1.0,0.9999847412109375,82.1,101.0,86.0,49.0,44.9
11.267,-1.0,0.9999847412109375,81.2,129.8,89.3,47.8,47.8
11.326,-1.0,0.9999847412109375,80.4,112.2,96.9,47.4,51.0
11.384,-1.0,0.9999847412109375,79.1,59.1,102.3,47.4,49.9
11.443,-1.0,0.9999847412109375,78.2,82.1,102.7,47.9,47.9
11.503,-1.0,0.9999847412109375,76.8,63.6,103.4,48.8,46.6
11.562,-1.0,0.9999847412109375,75.8,43.9,102.5,50.7,45.8
11.62,-1.0,0.9999847412109375,74.9,39.0,103.0,52.8,45.4
11.678,-1.0,0.9999847412109375,74.2,136.4,103.3,56.0,45.5
11.737,-1.0,0.9999847412109375,73.2,158.7,106.5,59.9,46.1
11.798,0.0,0.9999847412109375,72.3,89.2,110.7,65.2,47.2
11.855,0.0,0.9999847412109375,71.2,154.8,113.4,67.1,49.3
11.915,0.0,0.9999847412109375,70.0,27.2,118.2,66.1,50.9
11.973,0.0,0.9999847412109375,68.6,70.1,120.0,64.3,52.4
12.033,0.0,0.9999847412109375,69.3,96.5,117.5,62.6,54.4
12.091,0.0,0.9999847412109375,69.9,104.0,102.1,60.6,55.3
12.151,0.0,0.9999847412109375,70.9,131.0,103.8,58.6,57.0
12.21,0.0,0.9999847412109375,71.3,142.4,97.7,56.4,58.4
12.268,0.0,0.9999847412109375,72.2,142.2,75.8,54.6,59.0
12.328,0.0,0.9999847412109375,73.2,139.0,88.9,52.6,58.0
12.388,0.0,0.9999847412109375,74.6,155.4,94.2,51.2,55.0
12.446,0.0,0.9999847412109375,77.4,153.1,64.9,50.1,52.7
12.505,0.0,0.9999847412109375,80.7,141.6,78.2,48.5,50.2
12.563,0.0,0.9999847412109375,83.4,147.3,70.9,47.0,48.2
12.623,0.0,0.9999847412109375,87.1,150.7,36.8,45.3,46.0
12.681,0.0,0.9999847412109375,90.2,150.2,49.4,43.8,44.1
12.741,0.0,0.9999847412109375,93.9,153.1,50.5,42.1,42.0
12.8,0.0,0.9999847412109375,97.1,151.0,42.5,40.6,40.8
12.86,0.0,0.9999847412109375,99.5,145.2,40.4,38.9,39.6
12.918,0.0,0.9999847412109375,102.7,144.9,38.9,37.6,38.1
12.977,0.247039794921875,0.9999847412109375,104.6,149.0,38.9,35.9,36.4
13.037,0.796051025390625,0.9999847412109375,104.7,141.0,12.3,34.5,34.7
13.095,0.999969482421875,0.9999847412109375,106.9,140.0,19.9,33.6,33.3
13.155,0.999969482421875,0.9999847412109375,107.9,138.3,999,72.1,31.7
13.19,0.999969482421875,0.9999847412109375,110.4,135.2,12.8,106.3,29.9
13.249,0.999969482421875,0.9999847412109375,112.6,135.3,16.3,101.6,27.4
13.331,0.999969482421875,0.9999847412109375,116.3,131.3,41.3,96.4,24.9
13.39,0.999969482421875,0.9999847412109375,123.0,125.1,17.2,91.5,22.0
13.448,0.999969482421875,0.9999847412109375,124.9,123.6,41.1,87.5,18.4
13.509,0.999969482421875,0.9999847412109375,126.5,124.1,32.0,83.0,17.8
13.567,0.0,0.9999847412109375,126.7,130.8,4.7,79.7,19.9
13.625,0.0,0.9999847412109375,129.1,132.4,4.1,75.8,21.3
13.685,0.0,0.9999847412109375,129.1,133.2,15.7,71.7,106.7
13.744,0.0,0.9999847412109375,127.9,133.0,50.6,66.8,95.0
13.804,0.0,0.9999847412109375,124.3,132.4,32.3,61.4,81.6
13.862,0.0,0.9999847412109375,121.8,129.5,35.4,56.5,87.1
13.922,0.0,0.9999847412109375,120.4,127.7,24.3,51.2,112.8
13.98,0.0,0.9999847412109375,117.8,127.8,20.5,47.2,112.8
14.038,0.0,0.9999847412109375,116.9,131.6,5.7,43.6,86.4
14.1,0.0,0.9999847412109375,115.0,132.8,7.1,39.9,75.7
